Unnamed: 0,Date,Day_of_Week,Time_Slot,Route_ID,Route_Name,Bus_ID,Driver_ID,Bus_Type,Total_Seats,Seats_Booked,Occupancy_Rate (%),Ticket_Price,Revenue_Per_Trip,Fuel_Consumption_Liters,Fuel_Efficiency_KMPL,Maintenance_Status,Last_Service_Date,Breakdown_Incidents,Disruption_Likelihood,Risk_Score,Delay_Probability,Expense_Per_Trip,Profit_Per_Trip,Weather,Festival_Season,Holiday,Special_Event,Avg_Travel_Time (mins),Delay_Mins,Start_Desitination,End_Destination,Distance_KM,Start_Destination,Avg_Travel_Time_Mins,Weather_Impact,Event_Type
10,09-01-2024,Tuesday,Night,421,Dwarka-Bhavnagar,GJ08-AC-315,D293,AC,60,49,81.67,200,20269,65.02,5.46,Good,11-06-2024,0,0.7,Medium,0.65,5704,5403,Rainy,0,0,Navratri,256,22,Gandhinagar,Bhavnagar,330,Dwarka,226,Medium,Normal
11,15-02-2024,Thursday,Morning,265,Jamnagar-Patan,GJ08-Sleeper-105,D329,Non-AC,50,28,56,250,28923,63.51,5.99,Needs Repair,21-03-2024,3,0.37,Medium,0.17,5310,8628,Foggy,1,1,Navratri,251,6,Ahmedabad,Patan,280,Jamnagar,170,Low,Festival
12,12-06-2024,Wednesday,Night,437,Dwarka-Bhavnagar,GJ03-Non-AC-374,D200,AC,40,27,67.5,250,19994,67.41,5.34,Good,15-02-2024,3,0.2,Low,0.48,5356,5835,Clear,0,1,Festival Season,276,3,Gandhinagar,Bhavnagar,330,Dwarka,204,Medium,Festival
13,23-01-2024,Tuesday,Afternoon,386,Gandhinagar-Bhuj,GJ02-Non-AC-385,D455,Non-AC,60,41,68.33,250,19603,67.79,4.43,Good,08-05-2024,1,0.75,Low,0.48,4903,6516,Foggy,1,0,IPL Match,177,3,Vadodara,Bhuj,370,Gandhinagar,206,Medium,Festival
14,16-03-2024,Saturday,Afternoon,421,Surat-Diu,GJ08-Express-308,D401,Express,60,48,80,300,22234,46.99,5.81,Needs Repair,10-02-2024,1,0.89,Low,0.43,3913,5453,Foggy,1,0,,285,8,Ahmedabad,Diu,285,Surat,158,Low,Normal
15,13-06-2024,Thursday,Night,481,Bhuj-Gandhidham,GJ04-Express-277,D108,Sleeper,40,54,135,150,20711,12.43,5.95,Needs Repair,19-03-2024,0,0.57,Low,0.77,5042,5881,Foggy,1,0,,298,20,Ahmedabad,Gandhidham,58,Bhuj,14,Low,Holiday
16,08-01-2024,Monday,Morning,473,Jamnagar-Patan,GJ03-AC-162,D196,Non-AC,60,53,88.33,250,20196,47.78,4.81,Needs Repair,30-04-2024,2,0.67,Medium,0.4,3325,6198,Foggy,0,1,Festival Season,265,16,Ahmedabad,Patan,280,Jamnagar,161,High,Normal
17,18-06-2024,Tuesday,Morning,399,Ahmedabad-Bhuj,GJ05-Express-278,D471,Express,40,46,115,150,16930,53.45,4.61,Needs Repair,17-04-2024,1,0.6,Low,0.25,5862,5209,Rainy,0,1,IPL Match,226,9,Surat,Bhuj,335,Ahmedabad,218,Low,Holiday
18,18-02-2024,Sunday,Morning,449,Jamnagar-Patan,GJ04-Express-462,D167,Non-AC,40,44,110,250,32316,57.6,4.03,Needs Repair,30-04-2024,0,0.14,Medium,0.66,5954,7475,Rainy,0,0,Navratri,197,6,Ahmedabad,Patan,280,Jamnagar,138,High,Festival
19,17-04-2024,Wednesday,Night,118,Vadodara-Dwarka,GJ06-AC-307,D234,AC,50,33,66,150,21081,98.53,4.4,Good,03-01-2024,2,0.44,Medium,0.44,4475,7573,Clear,0,0,Festival Season,131,5,Ahmedabad,Dwarka,410,Vadodara,259,Low,Normal
20,02-01-2024,Tuesday,Afternoon,193,Vadodara-Dwarka,GJ06-AC-140,D403,Non-AC,50,22,44,150,27674,80.84,4.67,Good,04-03-2024,2,0.77,High,0.36,3552,9049,Foggy,0,1,Navratri,223,7,Gandhinagar,Dwarka,410,Vadodara,222,High,Normal
21,11-05-2024,Saturday,Morning,133,Dahod-Bhavnagar,GJ06-Non-AC-365,D388,AC,50,20,40,300,26275,80.05,4.08,Needs Repair,02-03-2024,1,0.55,High,0.53,3656,9670,Clear,0,0,,176,5,Surat,Bhavnagar,380,Dahod,241,High,Holiday
22,23-06-2024,Sunday,Night,430,Dahod-Bhavnagar,GJ03-AC-235,D203,AC,60,58,96.67,200,30400,93.65,4.27,Needs Repair,01-06-2024,3,0.24,High,0.9,5839,10572,Foggy,1,0,Navratri,281,43,Vadodara,Bhavnagar,380,Dahod,223,Medium,Holiday
23,25-01-2024,Thursday,Night,426,Bhuj-Gandhidham,GJ09-Express-133,D107,Sleeper,60,45,75,300,27827,10.73,4.27,Needs Repair,16-03-2024,3,0.42,Low,0.57,5033,10833,Foggy,0,1,,269,13,Surat,Gandhidham,58,Bhuj,29,High,Normal
24,17-05-2024,Friday,Afternoon,114,Ahmedabad-Junagadh,GJ07-Express-300,D135,Express,50,47,94,250,24604,61.05,5.47,Needs Repair,14-04-2024,0,0.74,Medium,0.85,5505,9722,Foggy,1,1,Navratri,128,15,Ahmedabad,Junagadh,330,Ahmedabad,205,Low,Normal
25,22-03-2024,Friday,Afternoon,209,Ahmedabad-Junagadh,GJ02-Non-AC-198,D217,Sleeper,60,40,66.67,250,32529,81.59,5.7,Good,29-01-2024,0,0.86,Medium,0.68,5846,11314,Clear,1,1,Navratri,281,28,Surat,Junagadh,330,Ahmedabad,191,Medium,Normal
26,22-01-2024,Monday,Morning,147,Ahmedabad-Junagadh,GJ05-Sleeper-358,D259,AC,60,33,55,300,24582,60.36,4.67,Needs Repair,07-05-2024,3,0.5,High,0.37,6686,6581,Clear,0,1,Festival Season,293,17,Vadodara,Junagadh,330,Ahmedabad,192,Medium,Normal
27,04-04-2024,Thursday,Morning,492,Anand-Modasa,GJ03-AC-457,D201,Non-AC,60,21,35,300,33919,26.78,4.28,Good,19-05-2024,2,0.9,Low,0.42,5829,9323,Clear,0,1,Festival Season,133,8,Gandhinagar,Modasa,160,Anand,83,Low,Holiday
28,27-04-2024,Saturday,Night,240,Vadodara-Dwarka,GJ04-Non-AC-402,D344,Non-AC,50,48,96,150,35555,93.55,4.39,Needs Repair,05-01-2024,1,0.26,High,0.75,5860,13635,Foggy,1,0,IPL Match,270,29,Ahmedabad,Dwarka,410,Vadodara,234,Low,Holiday
29,14-04-2024,Sunday,Afternoon,211,Patan-Ahmedabad,GJ01-Sleeper-419,D212,Sleeper,40,36,90,250,30001,26.12,4.05,Good,23-05-2024,0,0.5,Medium,0.26,3047,6901,Clear,0,1,,157,11,Surat,Ahmedabad,115,Patan,58,Medium,Festival
30,28-06-2024,Friday,Morning,306,Vadodara-Dwarka,GJ07-Express-366,D159,Non-AC,50,58,116,300,26985,86.73,4.64,Needs Repair,26-03-2024,3,0.22,Medium,0.16,4971,9924,Foggy,1,1,IPL Match,153,6,Ahmedabad,Dwarka,410,Vadodara,230,High,Normal
31,21-06-2024,Friday,Afternoon,138,Junagadh-Somnath,GJ07-Non-AC-139,D397,Non-AC,50,21,42,250,19489,17.29,5.57,Good,22-05-2024,0,0.65,Low,0.89,3418,6050,Clear,1,0,Festival Season,174,17,Ahmedabad,Somnath,90,Junagadh,43,High,Normal
32,23-06-2024,Sunday,Night,324,Junagadh-Somnath,GJ03-AC-367,D379,Non-AC,60,48,80,250,22599,21.09,5.92,Needs Repair,19-01-2024,2,0.49,Low,0.29,3663,5714,Foggy,1,1,Festival Season,154,13,Gandhinagar,Somnath,90,Junagadh,63,Medium,Normal
33,17-05-2024,Friday,Afternoon,325,Bhuj-Gandhidham,GJ04-AC-279,D463,Express,60,39,65,200,20374,9.03,4.78,Needs Repair,08-01-2024,1,0.56,Low,0.52,3953,6058,Clear,1,1,IPL Match,272,15,Ahmedabad,Gandhidham,58,Bhuj,46,Low,Festival
34,03-03-2024,Sunday,Morning,114,Surat-Rajkot,GJ08-Non-AC-292,D220,Sleeper,60,28,46.67,150,19196,82.18,4.45,Needs Repair,25-01-2024,3,0.17,Medium,0.43,5204,6231,Clear,0,1,IPL Match,245,13,Surat,Rajkot,340,Surat,156,High,Holiday
35,12-05-2024,Sunday,Afternoon,221,Dahod-Bhavnagar,GJ06-Express-246,D444,Sleeper,40,48,120,300,21352,78.72,4.65,Needs Repair,17-02-2024,2,0.18,Low,0.2,6790,8501,Rainy,0,1,Navratri,238,9,Vadodara,Bhavnagar,380,Dahod,191,High,Normal
36,22-04-2024,Monday,Morning,376,Bhavnagar-Rajkot,GJ09-Sleeper-194,D214,Sleeper,40,56,140,300,31850,29.29,4.9,Needs Repair,26-02-2024,2,0.2,Low,0.54,6192,9893,Foggy,1,0,Navratri,130,13,Surat,Rajkot,190,Bhavnagar,92,Low,Normal
37,26-02-2024,Monday,Morning,445,Rajkot-Porbandar,GJ09-Sleeper-454,D229,AC,50,41,82,150,32473,38.7,4.75,Needs Repair,27-05-2024,3,0.7,Medium,0.63,3715,6980,Foggy,0,0,IPL Match,208,18,Surat,Porbandar,185,Rajkot,82,Medium,Normal
38,24-06-2024,Monday,Morning,462,Gandhinagar-Mehsana,GJ06-Sleeper-270,D394,Non-AC,40,29,72.5,250,28824,17.74,4.13,Good,19-03-2024,0,0.31,Medium,0.11,4924,6361,Foggy,0,0,Navratri,259,0,Surat,Mehsana,80,Gandhinagar,60,Medium,Holiday
39,25-02-2024,Sunday,Afternoon,297,Bhuj-Gandhidham,GJ09-Express-444,D157,Non-AC,50,42,84,250,27598,9.26,4.58,Good,03-05-2024,2,0.38,Medium,0.3,3443,8245,Foggy,0,1,IPL Match,185,11,Surat,Gandhidham,58,Bhuj,19,Low,Festival
40,14-02-2024,Wednesday,Afternoon,106,Ahmedabad-Junagadh,GJ07-AC-166,D458,Non-AC,60,25,41.67,250,30559,59.16,4.84,Needs Repair,19-04-2024,3,0.27,Medium,0.87,5530,11459,Foggy,1,1,IPL Match,225,7,Ahmedabad,Junagadh,330,Ahmedabad,199,High,Festival
41,25-05-2024,Saturday,Night,220,Bhuj-Gandhidham,GJ08-Express-186,D203,Non-AC,60,35,58.33,200,16428,11.39,5.82,Needs Repair,16-02-2024,1,0.42,Medium,0.77,5110,5002,Foggy,0,1,Navratri,290,33,Gandhinagar,Gandhidham,58,Bhuj,51,Low,Festival
42,28-01-2024,Sunday,Afternoon,246,Ahmedabad-Bhuj,GJ06-Express-398,D214,Express,50,48,96,300,29901,50.57,4.44,Needs Repair,24-05-2024,3,0.26,Medium,0.75,4569,8122,Rainy,0,1,Festival Season,159,7,Ahmedabad,Bhuj,335,Ahmedabad,230,Low,Festival
43,21-01-2024,Sunday,Night,234,Patan-Ahmedabad,GJ06-Non-AC-457,D198,Non-AC,40,45,112.5,300,31242,27.24,4.8,Good,26-05-2024,2,0.41,Low,0.47,3947,6898,Clear,0,1,Festival Season,172,21,Surat,Ahmedabad,115,Patan,53,High,Festival
44,15-04-2024,Monday,Morning,177,Jamnagar-Patan,GJ04-Sleeper-237,D316,AC,60,59,98.33,250,16416,52.11,5.99,Good,11-04-2024,0,0.65,Medium,0.7,3578,5885,Foggy,0,1,,241,24,Gandhinagar,Patan,280,Jamnagar,156,High,Holiday
45,12-04-2024,Friday,Morning,369,Gandhinagar-Bhuj,GJ05-Express-469,D414,AC,50,47,94,300,20782,80.28,5.8,Good,16-03-2024,3,0.19,Low,0.33,5963,5460,Clear,0,1,,126,10,Surat,Bhuj,370,Gandhinagar,218,High,Holiday
46,24-03-2024,Sunday,Night,441,Jamnagar-Patan,GJ03-AC-272,D493,Sleeper,40,39,97.5,250,32261,64.09,5.2,Needs Repair,16-04-2024,0,0.73,High,0.36,5613,8785,Clear,1,0,Navratri,192,10,Surat,Patan,280,Jamnagar,163,Medium,Normal
47,06-05-2024,Monday,Afternoon,430,Dwarka-Bhavnagar,GJ05-Non-AC-494,D205,AC,60,26,43.33,300,34118,62.68,5.91,Needs Repair,13-03-2024,2,0.15,High,0.14,5110,11322,Foggy,0,0,Festival Season,283,7,Ahmedabad,Bhavnagar,330,Dwarka,225,High,Normal
48,28-04-2024,Sunday,Night,113,Ahmedabad-Junagadh,GJ06-Express-270,D317,AC,50,32,64,250,16871,50.06,4.38,Good,16-01-2024,0,0.44,Low,0.27,3748,5453,Foggy,0,1,Festival Season,222,4,Gandhinagar,Junagadh,330,Ahmedabad,156,Medium,Festival
49,02-06-2024,Sunday,Afternoon,447,Bhuj-Gandhidham,GJ03-Non-AC-445,D263,AC,60,32,53.33,250,28649,14.35,4.49,Needs Repair,06-01-2024,2,0.49,Medium,0.42,4050,6377,Rainy,0,0,Festival Season,252,18,Vadodara,Gandhidham,58,Bhuj,48,High,Festival
50,11-02-2024,Sunday,Afternoon,416,Rajkot-Porbandar,GJ07-AC-255,D341,AC,50,58,116,250,17408,35.02,5.62,Needs Repair,29-02-2024,0,0.57,High,0.79,4675,6477,Foggy,0,0,,174,8,Surat,Porbandar,185,Rajkot,124,High,Festival
51,15-03-2024,Friday,Afternoon,128,Bhuj-Gandhidham,GJ03-Non-AC-155,D253,Sleeper,40,56,140,250,28870,14.07,4.87,Needs Repair,09-06-2024,1,0.38,Low,0.67,4317,6434,Rainy,0,0,,126,32,Ahmedabad,Gandhidham,58,Bhuj,31,Low,Festival
52,19-05-2024,Sunday,Afternoon,446,Bhavnagar-Rajkot,GJ09-Non-AC-474,D387,Non-AC,50,45,90,300,24118,43.68,4.11,Good,26-01-2024,3,0.19,Medium,0.33,4516,6391,Foggy,1,1,Festival Season,161,7,Surat,Rajkot,190,Bhavnagar,83,Low,Holiday
53,20-05-2024,Monday,Night,323,Surat-Rajkot,GJ02-AC-312,D433,Sleeper,60,28,46.67,150,31261,51.33,4.14,Needs Repair,22-03-2024,0,0.78,Medium,0.67,5833,12230,Rainy,1,0,Festival Season,298,19,Ahmedabad,Rajkot,340,Surat,180,Medium,Festival
54,26-01-2024,Friday,Afternoon,473,Surat-Rajkot,GJ05-AC-275,D209,Sleeper,40,51,127.5,300,35964,83.8,4.03,Good,06-01-2024,3,0.54,Low,0.89,6333,12705,Foggy,1,0,Navratri,182,26,Surat,Rajkot,340,Surat,215,Low,Festival
55,08-04-2024,Monday,Morning,174,Anand-Modasa,GJ07-Sleeper-360,D343,Express,50,44,88,250,31048,24.18,5.64,Needs Repair,23-01-2024,2,0.26,Medium,0.15,3311,6313,Foggy,1,1,Festival Season,282,6,Vadodara,Modasa,160,Anand,85,Low,Normal
56,01-01-2024,Monday,Morning,125,Gandhinagar-Bhuj,GJ03-Sleeper-441,D427,AC,60,54,90,250,33520,61.13,4.46,Needs Repair,15-01-2024,2,0.7,Low,0.85,3246,8856,Rainy,1,0,Navratri,177,10,Ahmedabad,Bhuj,370,Gandhinagar,199,Medium,Normal
57,13-02-2024,Tuesday,Night,179,Jamnagar-Patan,GJ07-Express-378,D478,Express,40,41,102.5,200,33891,60.13,6,Good,28-06-2024,0,0.77,Low,0.64,4555,7123,Clear,1,0,Festival Season,124,11,Surat,Patan,280,Jamnagar,156,Low,Holiday
58,18-03-2024,Monday,Night,233,Gandhinagar-Mehsana,GJ08-AC-382,D277,Non-AC,40,48,120,300,32644,17.49,5.17,Good,25-01-2024,3,0.2,Low,0.58,4468,12676,Clear,0,0,,183,13,Surat,Mehsana,80,Gandhinagar,54,Medium,Festival
59,25-02-2024,Sunday,Morning,317,Vadodara-Morbi,GJ09-AC-211,D199,Express,60,48,80,300,32873,52.79,5.35,Good,03-04-2024,0,0.52,High,0.82,5559,10928,Clear,1,1,Navratri,212,35,Ahmedabad,Morbi,260,Vadodara,154,High,Holiday
60,12-05-2024,Sunday,Afternoon,430,Gandhinagar-Bhuj,GJ07-Express-381,D112,Express,40,43,107.5,150,17964,64,4.27,Good,18-06-2024,3,0.79,High,0.66,5597,6357,Foggy,0,0,Navratri,233,28,Surat,Bhuj,370,Gandhinagar,230,Low,Normal
61,09-03-2024,Saturday,Night,486,Somnath-Junagadh,GJ02-Express-354,D486,Express,50,46,92,150,29324,19.93,5.45,Needs Repair,18-04-2024,3,0.18,Low,0.19,4992,6075,Rainy,0,1,IPL Match,228,4,Ahmedabad,Junagadh,85,Somnath,61,Low,Normal
62,04-04-2024,Thursday,Night,318,Vadodara-Morbi,GJ05-Non-AC-480,D328,Express,40,34,85,250,28641,64.95,4.1,Needs Repair,18-01-2024,2,0.77,Medium,0.6,5972,6182,Rainy,0,1,Festival Season,235,8,Surat,Morbi,260,Vadodara,175,Medium,Normal
63,16-02-2024,Friday,Morning,182,Dwarka-Bhavnagar,GJ03-AC-177,D199,Express,50,40,80,150,32836,65.61,5.22,Good,06-04-2024,0,0.73,High,0.63,4493,11948,Rainy,1,1,IPL Match,223,30,Ahmedabad,Bhavnagar,330,Dwarka,210,High,Festival
64,18-04-2024,Thursday,Night,418,Bhavnagar-Rajkot,GJ09-Non-AC-233,D356,AC,60,24,40,200,28941,43.42,5.03,Good,09-06-2024,3,0.41,Medium,0.35,5700,10287,Rainy,1,1,Navratri,275,10,Surat,Rajkot,190,Bhavnagar,133,High,Holiday
65,25-05-2024,Saturday,Afternoon,384,Jamnagar-Patan,GJ04-Sleeper-101,D200,AC,50,28,56,200,17795,51.96,4.74,Good,04-06-2024,0,0.81,Low,0.3,6374,5759,Rainy,1,1,IPL Match,240,2,Surat,Patan,280,Jamnagar,173,High,Holiday
66,28-01-2024,Sunday,Night,227,Gandhinagar-Bhuj,GJ09-Express-373,D326,Non-AC,50,20,40,150,35154,57.92,4.48,Good,20-03-2024,2,0.34,High,0.72,3220,9649,Clear,0,1,,213,30,Gandhinagar,Bhuj,370,Gandhinagar,202,Medium,Festival
67,21-04-2024,Sunday,Night,204,Bhavnagar-Rajkot,GJ02-AC-180,D131,Sleeper,50,52,104,250,16381,36.9,5.39,Good,14-05-2024,3,0.14,Low,0.24,6637,5955,Foggy,1,1,Festival Season,131,1,Surat,Rajkot,190,Bhavnagar,125,Low,Normal
68,20-02-2024,Tuesday,Night,207,Patan-Ahmedabad,GJ01-Non-AC-335,D335,Sleeper,60,34,56.67,150,25379,22.45,5.51,Needs Repair,26-04-2024,1,0.49,Medium,0.65,4816,9651,Clear,0,0,Festival Season,134,12,Surat,Ahmedabad,115,Patan,70,Low,Holiday
69,21-04-2024,Sunday,Morning,119,Vadodara-Morbi,GJ01-Express-380,D293,Non-AC,40,55,137.5,250,28642,46.15,5.33,Good,28-03-2024,0,0.27,High,0.83,6344,10201,Clear,0,1,Navratri,264,7,Ahmedabad,Morbi,260,Vadodara,152,High,Normal
70,08-04-2024,Monday,Afternoon,191,Dahod-Bhavnagar,GJ04-Sleeper-219,D157,Express,60,51,85,150,31867,73.28,5.86,Needs Repair,07-03-2024,0,0.43,High,0.44,5057,7345,Rainy,1,0,Navratri,272,18,Ahmedabad,Bhavnagar,380,Dahod,206,Low,Holiday
71,21-04-2024,Sunday,Morning,165,Jamnagar-Patan,GJ02-AC-410,D464,Sleeper,50,26,52,300,16929,48.54,4.15,Good,24-05-2024,1,0.66,High,0.27,5000,6103,Rainy,1,1,Navratri,236,5,Ahmedabad,Patan,280,Jamnagar,144,High,Holiday
72,16-05-2024,Thursday,Morning,359,Anand-Modasa,GJ09-AC-410,D388,AC,40,54,135,200,27197,26.19,5.07,Good,16-06-2024,2,0.47,High,0.22,6299,7102,Rainy,1,1,,181,11,Vadodara,Modasa,160,Anand,104,Medium,Normal
73,04-05-2024,Saturday,Afternoon,295,Morbi-Surat,GJ03-Sleeper-246,D141,AC,60,40,66.67,150,27416,62.95,5.24,Needs Repair,21-06-2024,0,0.45,High,0.9,4104,6057,Foggy,0,1,Festival Season,296,29,Vadodara,Surat,270,Morbi,180,High,Holiday
74,01-05-2024,Wednesday,Afternoon,470,Surat-Rajkot,GJ03-AC-171,D386,AC,50,20,40,300,32435,84.14,5.84,Needs Repair,11-02-2024,2,0.19,Low,0.38,3516,7303,Clear,1,1,,262,1,Gandhinagar,Rajkot,340,Surat,176,Low,Festival
75,18-03-2024,Monday,Night,198,Somnath-Junagadh,GJ06-Non-AC-434,D323,Sleeper,50,58,116,150,28853,19.43,4.18,Good,20-04-2024,2,0.19,Low,0.11,5819,7066,Foggy,1,0,IPL Match,185,3,Vadodara,Junagadh,85,Somnath,27,High,Holiday
76,13-02-2024,Tuesday,Morning,250,Morbi-Surat,GJ06-AC-121,D153,Non-AC,40,58,145,200,31758,42.79,5.89,Needs Repair,01-04-2024,0,0.17,Medium,0.39,6176,7426,Rainy,1,1,,150,11,Vadodara,Surat,270,Morbi,153,High,Normal
77,29-05-2024,Wednesday,Night,224,Bhavnagar-Rajkot,GJ09-Sleeper-123,D399,Sleeper,50,41,82,250,31342,42.4,4.16,Good,29-01-2024,2,0.67,High,0.35,3605,12517,Foggy,0,0,Navratri,236,10,Vadodara,Rajkot,190,Bhavnagar,118,Low,Holiday
78,31-05-2024,Friday,Night,394,Junagadh-Somnath,GJ08-AC-139,D305,AC,50,40,80,300,32345,20.67,5.45,Good,03-06-2024,1,0.29,Low,0.77,4301,6867,Rainy,1,1,Navratri,252,28,Gandhinagar,Somnath,90,Junagadh,42,Low,Normal
79,08-03-2024,Friday,Night,122,Anand-Modasa,GJ09-Sleeper-465,D212,Express,60,51,85,300,35100,25.75,5.56,Needs Repair,21-02-2024,3,0.3,Low,0.52,4196,12844,Clear,1,0,Festival Season,294,4,Gandhinagar,Modasa,160,Anand,93,High,Holiday
80,14-04-2024,Sunday,Night,264,Bhuj-Gandhidham,GJ05-Express-337,D253,Sleeper,40,24,60,300,31207,10.32,4.37,Needs Repair,19-05-2024,3,0.19,Low,0.74,5948,5361,Clear,0,1,Navratri,173,7,Ahmedabad,Gandhidham,58,Bhuj,33,High,Festival
81,10-04-2024,Wednesday,Night,400,Gandhinagar-Mehsana,GJ09-Express-395,D350,Express,50,43,86,200,16569,16.04,4.08,Good,15-03-2024,1,0.24,Medium,0.85,5579,5864,Clear,1,0,,294,22,Surat,Mehsana,80,Gandhinagar,22,Low,Festival
82,13-05-2024,Monday,Morning,422,Dahod-Bhavnagar,GJ06-Sleeper-481,D467,Non-AC,50,53,106,150,22221,92.87,4.5,Good,21-01-2024,0,0.7,Low,0.37,5272,5215,Foggy,0,1,Festival Season,173,1,Vadodara,Bhavnagar,380,Dahod,250,High,Holiday
83,21-04-2024,Sunday,Afternoon,359,Junagadh-Somnath,GJ01-Sleeper-399,D340,Express,60,52,86.67,150,28014,16.8,5.99,Good,07-01-2024,2,0.56,High,0.49,5572,8188,Rainy,0,0,,186,12,Gandhinagar,Somnath,90,Junagadh,48,Low,Normal
84,25-05-2024,Saturday,Morning,211,Gandhinagar-Bhuj,GJ01-Sleeper-354,D411,Sleeper,60,44,73.33,200,24898,80.47,5.89,Needs Repair,08-04-2024,2,0.48,Medium,0.43,5682,7624,Rainy,0,0,IPL Match,140,10,Ahmedabad,Bhuj,370,Gandhinagar,251,Medium,Festival
85,14-05-2024,Tuesday,Night,360,Junagadh-Somnath,GJ03-Non-AC-473,D135,Sleeper,60,25,41.67,200,30763,14.56,4.58,Needs Repair,24-01-2024,0,0.29,Medium,0.27,3296,7721,Rainy,0,0,Navratri,152,6,Vadodara,Somnath,90,Junagadh,34,Medium,Normal
86,16-04-2024,Tuesday,Night,232,Ahmedabad-Junagadh,GJ04-Non-AC-279,D129,Non-AC,40,40,100,300,30532,55.61,4.63,Needs Repair,11-02-2024,1,0.59,Low,0.87,4097,6008,Clear,1,1,IPL Match,275,7,Surat,Junagadh,330,Ahmedabad,202,Medium,Normal
87,28-03-2024,Thursday,Night,449,Surat-Diu,GJ08-Express-198,D371,Express,50,54,108,250,29482,60.05,5.34,Needs Repair,13-02-2024,0,0.44,Medium,0.8,4887,9481,Clear,1,1,IPL Match,210,16,Surat,Diu,285,Surat,139,Low,Normal
88,05-03-2024,Tuesday,Morning,141,Anand-Modasa,GJ05-AC-100,D345,AC,60,35,58.33,150,19478,31.27,4.11,Good,01-05-2024,1,0.21,High,0.84,3529,6022,Foggy,0,0,IPL Match,208,11,Ahmedabad,Modasa,160,Anand,74,Medium,Festival
